7: Ground truth-automobile, Test result A-airplane
8: Ground truth-frog, Test result A-bird
11: Ground truth-airplane, Test result A-deer
26: Ground truth-bird, Test result A-truck
33: Ground truth-deer, Test result A-bird
34: Ground truth-dog, Test result A-cat
57: Ground truth-horse, Test result A-dog
60: Ground truth-frog, Test result A-cat
68: Ground truth-bird, Test result A-airplane
71: Ground truth-bird, Test result A-cat
72: Ground truth-frog, Test result A-cat
87: Ground truth-bird, Test result A-deer
116: Ground truth-cat, Test result A-horse
122: Ground truth-cat, Test result A-horse
128: Ground truth-cat, Test result A-dog
159: Ground truth-dog, Test result A-cat
224: Ground truth-deer, Test result A-horse
240: Ground truth-dog, Test result A-cat
251: Ground truth-dog, Test result A-deer
265: Ground truth-airplane, Test result A-ship
303: Ground truth-cat, Test result A-dog
305: Ground truth-frog, Test result A-bird
306: Ground truth-automobile, Test result A-ship
309: Ground truth-automobile, Test result A-truck
314: Ground truth-airplane, Test result A-cat
406: Ground truth-deer, Test result A-frog
413: Ground truth-cat, Test result A-dog
446: Ground truth-horse, Test result A-bird
464: Ground truth-deer, Test result A-dog
465: Ground truth-cat, Test result A-truck
469: Ground truth-horse, Test result A-dog
486: Ground truth-truck, Test result A-airplane
507: Ground truth-horse, Test result A-cat
551: Ground truth-dog, Test result A-bird
556: Ground truth-deer, Test result A-truck
565: Ground truth-bird, Test result A-deer
566: Ground truth-cat, Test result A-dog
570: Ground truth-bird, Test result A-deer
580: Ground truth-dog, Test result A-bird
597: Ground truth-horse, Test result A-airplane
599: Ground truth-dog, Test result A-deer
619: Ground truth-bird, Test result A-deer
656: Ground truth-bird, Test result A-deer
680: Ground truth-dog, Test result A-cat
685: Ground truth-truck, Test result A-horse
688: Ground truth-frog, Test result A-cat
721: Ground truth-deer, Test result A-horse
770: Ground truth-deer, Test result A-bird
777: Ground truth-bird, Test result A-horse
807: Ground truth-ship, Test result A-airplane
811: Ground truth-dog, Test result A-cat
829: Ground truth-dog, Test result A-deer
834: Ground truth-bird, Test result A-dog
837: Ground truth-automobile, Test result A-truck
845: Ground truth-automobile, Test result A-bird
847: Ground truth-bird, Test result A-frog
864: Ground truth-cat, Test result A-dog
878: Ground truth-bird, Test result A-dog
886: Ground truth-airplane, Test result A-deer
927: Ground truth-ship, Test result A-frog
930: Ground truth-airplane, Test result A-ship
949: Ground truth-cat, Test result A-deer
982: Ground truth-truck, Test result A-automobile
1008: Ground truth-ship, Test result A-airplane
1009: Ground truth-truck, Test result A-automobile
1036: Ground truth-frog, Test result A-deer
1048: Ground truth-automobile, Test result A-ship
1052: Ground truth-bird, Test result A-frog
1077: Ground truth-airplane, Test result A-ship
1089: Ground truth-cat, Test result A-dog
1114: Ground truth-ship, Test result A-airplane
1119: Ground truth-deer, Test result A-horse
1149: Ground truth-bird, Test result A-frog
1150: Ground truth-horse, Test result A-dog
1158: Ground truth-horse, Test result A-automobile
1173: Ground truth-bird, Test result A-horse
1186: Ground truth-automobile, Test result A-ship
1200: Ground truth-truck, Test result A-airplane
1221: Ground truth-truck, Test result A-cat
1241: Ground truth-bird, Test result A-frog
1242: Ground truth-airplane, Test result A-ship
1246: Ground truth-frog, Test result A-cat
1247: Ground truth-horse, Test result A-cat
1257: Ground truth-truck, Test result A-ship
1271: Ground truth-automobile, Test result A-truck
1276: Ground truth-cat, Test result A-truck
1295: Ground truth-ship, Test result A-bird
1324: Ground truth-airplane, Test result A-bird
1331: Ground truth-bird, Test result A-cat
1333: Ground truth-automobile, Test result A-ship
1374: Ground truth-cat, Test result A-deer
1378: Ground truth-cat, Test result A-deer
1380: Ground truth-horse, Test result A-deer
1381: Ground truth-deer, Test result A-dog
1396: Ground truth-cat, Test result A-frog
1412: Ground truth-cat, Test result A-deer
1425: Ground truth-truck, Test result A-automobile
1432: Ground truth-deer, Test result A-bird
1440: Ground truth-truck, Test result A-automobile
1444: Ground truth-deer, Test result A-frog
1472: Ground truth-ship, Test result A-airplane
1485: Ground truth-deer, Test result A-cat
1504: Ground truth-deer, Test result A-dog
1530: Ground truth-deer, Test result A-dog
1542: Ground truth-deer, Test result A-bird
1569: Ground truth-airplane, Test result A-truck
1574: Ground truth-airplane, Test result A-truck
1593: Ground truth-deer, Test result A-dog
1596: Ground truth-cat, Test result A-dog
